PROBLEM NAME: 	fnl4461-TTP
KNAPSACK DATA TYPE: bounded strongly corr
DIMENSION:	1000
NUMBER OF ITEMS: 	999
CAPACITY OF KNAPSACK: 	90000
MIN SPEED: 	0.1
MAX SPEED: 	2
RENTING RATIO: 	0.3
EDGE_WEIGHT_TYPE:	CEIL_2D
NODE_COORD_SECTION	(INDEX, X, Y): 
1	5639	6909
2	5652	6142
3	5654	6101
4	5659	6910
5	5659	6920
6	5661	6182
7	5663	6830
8	5669	6213
9	5670	6425
10	5671	6870
11	5673	6132
12	5682	6840
13	5690	6891
14	5694	6801
15	5698	6265
16	5698	6952
17	5701	6184
18	5701	6407
19	5712	6154
20	5716	6296
21	5720	6438
22	5722	6397
23	5722	6873
24	5730	6458
25	5731	6893
26	5736	6317
27	5737	6064
28	5738	6034
29	5738	6267
30	5740	5984
31	5741	6206
32	5741	6418
33	5744	6368
34	5744	6823
35	5746	6783
36	5748	6490
37	5748	6965
38	5749	6944
39	5750	6227
40	5756	6308
41	5758	6733
42	5761	6440
43	5762	6187
44	5763	6389
45	5774	6127
46	5776	6319
47	5776	6774
48	5777	6289
49	5779	6026
50	5780	6916
51	5783	6168
52	5784	6137
53	5788	6744
54	5789	6249
55	5790	5996
56	5797	6077
57	5799	6482
58	5799	6957
59	5800	6472
60	5802	6411
61	5804	6836
62	5805	6350
63	5806	6563
64	5808	6047
65	5810	6229
66	5813	6159
67	5817	6311
68	5818	6988
69	5820	6472
70	5822	6200
71	5822	6432
72	5822	6877
73	5825	6594
74	5827	6089
75	5829	6726
76	5833	6392
77	5833	6635
78	5838	6281
79	5840	6948
80	5841	6686
81	5842	6665
82	5844	6160
83	5846	6807
84	5847	6544
85	5847	6999
86	5848	6049
87	5850	6251
88	5851	6919
89	5853	6413
90	5855	6120
91	5859	6272
92	5860	6009
93	5860	6484
94	5861	6687
95	5863	6869
96	5864	6616
97	5867	6090
98	5867	7010
99	5872	6909
100	5873	6171
101	5874	6151
102	5876	6333
